Year,Team,Confederation,FIFA_Ranking,Avg_Age,Matches_Played,Wins,Draws,Losses,Goals_Scored,Goals_Conceded,Goal_Difference,Win_Rate,Avg_Player_Caps,Previous_WC_Appearances,Qualification_Status,Finalist
2006,Austria,UEFA,51,24.7,7,7,0,0,16,14,2,1.0,66.0,5,Host,0
2006,USA,CONCACAF,73,26.8,4,2,2,0,10,7,3,0.5,37.0,3,Direct,0
2006,Australia,AFC,18,24.6,5,3,2,0,8,12,-4,0.6,27.0,6,Host,0
2006,South Korea,AFC,45,25.4,7,1,5,1,7,6,1,0.143,61.0,3,Playoff,1
2006,Uruguay,CONMEBOL,27,28.4,5,1,3,1,15,8,7,0.2,33.0,6,Direct,0
2006,Portugal,UEFA,94,26.4,5,4,1,0,14,9,5,0.8,48.0,6,Direct,1
2006,Serbia,UEFA,80,26.6,4,3,1,0,12,3,9,0.75,36.0,7,Host,0
2006,Denmark,UEFA,14,,5,0,3,2,8,9,-1,0.0,27.0,3,Playoff,0
2006,Mexico,CONCACAF,32,27.8,4,2,1,1,4,1,3,0.5,54.0,4,Host,0
2006,Brazil,CONMEBOL,1,28.1,6,6,0,0,15,7,8,1.0,46.0,8,Host,1
2006,Italy,UEFA,42,26.7,6,6,0,0,8,1,7,1.0,71.0,12,Playoff,1
2006,Japan,AFC,24,28.3,7,4,3,0,8,11,-3,0.571,70.0,5,Playoff,0
2006,Spain,UEFA,6,26.8,7,3,3,1,12,10,2,0.429,74.0,11,Direct,1
2006,Colombia,CONMEBOL,10,25.6,5,0,3,2,14,9,5,0.0,22.0,6,Playoff,0
2006,Croatia,UEFA,18,26.9,4,2,1,1,13,8,5,0.5,34.0,2,Playoff,0
2006,Cameroon,CAF,97,28.0,4,0,1,3,13,14,-1,0.0,58.0,1,Host,0
2006,Germany,UEFA,49,29.5,6,0,1,5,3,12,-9,0.0,73.0,6,Direct,0
2006,Argentina,CONMEBOL,1,25.7,5,4,1,0,7,7,0,0.8,23.0,6,Host,0
2006,Sweden,UEFA,26,28.1,7,4,3,0,3,6,-3,0.571,41.0,2,Host,0
2006,France,UEFA,33,25.3,6,5,1,0,4,4,0,0.833,79.0,10,Host,0
2006,Morocco,CAF,28,,6,3,0,3,2,8,-6,0.5,58.0,1,Direct,0
2006,Switzerland,UEFA,66,25.1,6,6,0,0,11,3,8,1.0,26.0,3,Playoff,0
2006,Egypt,CAF,69,,4,3,0,1,6,11,-5,0.75,74.0,0,Direct,0
2006,Senegal,CAF,57,28.7,7,7,0,0,2,8,-6,1.0,71.0,2,Direct,0
2006,Ecuador,CONMEBOL,47,27.8,5,2,3,0,4,9,-5,0.4,,1,Playoff,0
2006,Nigeria,CAF,63,26.7,4,0,3,1,2,4,-2,0.0,52.0,5,Direct,0
2006,Netherlands,UEFA,17,28.7,4,0,3,1,15,14,1,0.0,57.0,5,Direct,0
2006,Belgium,UEFA,17,27.7,5,4,1,0,2,12,-10,0.8,66.0,7,Direct,0
2006,Chile,CONMEBOL,70,27.0,7,2,0,5,18,12,6,0.286,47.0,5,Direct,0
2006,Poland,UEFA,15,26.4,4,4,0,0,18,14,4,1.0,72.0,6,Host,0
2006,Ghana,CAF,72,26.0,7,6,0,1,4,2,2,0.857,44.0,1,Host,0
2006,England,UEFA,3,27.4,7,1,6,0,3,11,-8,0.143,61.0,1,Playoff,0
2010,Italy,UEFA,22,27.5,5,0,3,2,11,6,5,0.0,34.0,5,Host,1
2010,Ghana,CAF,17,28.3,7,3,4,0,8,4,4,0.429,25.0,4,Playoff,0
2010,Serbia,UEFA,64,25.2,7,4,1,2,11,14,-3,0.571,38.0,0,Host,0
2010,Australia,AFC,67,24.9,4,1,0,3,10,12,-2,0.25,72.0,0,Playoff,0
2010,Senegal,CAF,43,25.7,5,0,4,1,2,13,-11,0.0,58.0,7,Host,0
2010,Spain,UEFA,29,26.6,7,1,2,4,6,6,0,0.143,76.0,12,Playoff,1
2010,Austria,UEFA,56,24.7,5,5,0,0,6,12,-6,1.0,35.0,1,Playoff,0
2010,Japan,AFC,48,26.2,5,5,0,0,6,7,-1,1.0,77.0,1,Playoff,0
2010,Denmark,UEFA,43,25.8,5,1,2,2,2,8,-6,0.2,24.0,4,Host,0
2010,Germany,UEFA,28,27.4,6,3,3,0,13,2,11,0.5,54.0,11,Direct,0
2010,Nigeria,CAF,60,28.6,7,2,0,5,2,8,-6,0.286,29.0,2,Direct,0
2010,Cameroon,CAF,55,24.6,6,1,2,3,18,10,8,0.167,27.0,4,Playoff,0
2010,Croatia,UEFA,43,,6,3,1,2,19,13,6,0.5,30.0,4,Direct,0
2010,Chile,CONMEBOL,45,25.4,4,2,0,2,4,4,0,0.5,37.0,0,Host,0
2010,Colombia,CONMEBOL,32,29.2,4,3,0,1,14,7,7,0.75,44.0,2,Direct,0
2010,Switzerland,UEFA,71,27.0,4,4,0,0,18,4,14,1.0,31.0,4,Direct,0
2010,Netherlands,UEFA,18,26.1,5,3,2,0,16,5,11,0.6,24.0,2,Direct,0
