Team,Confederation,FIFA_Ranking,Avg_Age,Matches_Played,Wins,Draws,Losses,Goals_Scored,Goals_Conceded,Goal_Difference,Win_Rate,Avg_Player_Caps,Previous_WC_Appearances,Qualification_Status
Brazil,CONMEBOL,2,27.7,8,5,1,2,30,24,6,0.625,30,15,Direct
Argentina,CONMEBOL,3,26.0,11,4,1,6,17,5,12,0.364,32,7,Playoff
France,UEFA,17,28.0,12,7,0,5,27,14,13,0.583,72,7,Playoff
England,UEFA,7,25.3,8,5,0,3,25,8,17,0.625,61,4,Playoff
Spain,UEFA,10,26.6,11,6,3,2,34,8,26,0.545,34,9,Direct
Germany,UEFA,14,27.6,14,12,1,1,21,16,5,0.857,54,15,Host
Netherlands,UEFA,22,25.6,10,8,1,1,14,5,9,0.8,45,2,Host
Portugal,UEFA,30,27.3,11,5,4,2,10,24,-14,0.455,73,5,Host
Belgium,UEFA,40,25.9,13,11,0,2,33,21,12,0.846,28,6,Playoff
Croatia,UEFA,52,27.1,9,6,1,2,32,22,10,0.667,46,4,Direct
Italy,UEFA,50,28.2,12,10,0,2,32,7,25,0.833,25,7,Host
Uruguay,CONMEBOL,47,25.9,8,4,1,3,32,16,16,0.5,50,2,Direct
Mexico,CONCACAF,25,26.0,12,6,4,2,31,24,7,0.5,52,8,Direct
USA,CONCACAF,54,28.0,8,6,1,1,17,10,7,0.75,73,3,Host
Colombia,CONMEBOL,57,28.4,12,4,0,8,16,20,-4,0.333,74,8,Playoff
Japan,AFC,32,25.1,12,11,0,1,13,18,-5,0.917,45,4,Direct
South Korea,AFC,33,28.1,14,13,0,1,23,5,18,0.929,36,9,Direct
Senegal,CAF,51,26.5,14,5,1,8,34,18,16,0.357,31,4,Host
Morocco,CAF,53,27.9,9,6,0,3,23,9,14,0.667,45,8,Host
Switzerland,UEFA,40,26.6,12,5,3,4,32,21,11,0.417,55,2,Direct
Denmark,UEFA,28,27.4,12,11,0,1,10,9,1,0.917,64,9,Host
Poland,UEFA,37,25.6,13,7,3,3,24,13,11,0.538,55,3,Host
Australia,AFC,40,27.2,13,9,1,3,18,20,-2,0.692,73,4,Direct
Ecuador,CONMEBOL,42,27.5,13,6,2,5,29,14,15,0.462,47,2,Playoff
